state;action_reward;n_state
1012&1|685&4|1&4|100&5|405&5|7&5|106&2|1047&2|748&5|928&3|240&1|123&3;597&2|291&4|760&1|1199&2;1012&1|685&4|1&4|100&5|405&5|7&5|106&2|1047&2|748&5|928&3|240&1|123&3|597&2|291&4|760&1|1199&2
124&5|864&1|19&5|298&2|1014&3|284&2|130&1|13&4|1017&4|754&3|744&4|515&3;276&4|127&4|286&5|740&4;124&5|864&1|19&5|298&2|1014&3|284&2|130&1|13&4|1017&4|754&3|744&4|515&3|276&4|127&4|286&5|740&4
64&3|1025&3|457&4|596&3|528&4|199&5|357&2|462&4|705&4|443&1|205&5|687&2;890&2|127&4|257&5|455&3;64&3|1025&3|457&4|596&3|528&4|199&5|357&2|462&4|705&4|443&1|205&5|687&2|890&2|127&4|257&5|455&3
428&4|603&5|23&4|188&3|127&5|28&3|1134&3|479&5|963&5|301&3|481&3|482&3;50&3|1&4|276&4|628&2;428&4|603&5|23&4|188&3|127&5|28&3|1134&3|479&5|963&5|301&3|481&3|482&3|50&3|1&4|276&4|628&2
258&2|324&4|223&4|327&4|195&4|483&5|127&5|69&3|302&5|97&4|179&5|523&5;135&5|210&4|181&5|232&3;258&2|324&4|223&4|327&4|195&4|483&5|127&5|69&3|302&5|97&4|179&5|523&5|135&5|210&4|181&5|232&3
495&3|7&4|1444&1|1091&1|147&3|33&4|746&3|154&2|204&3|64&3|150&2|158&2;191&5|277&5|94&1|190&5;495&3|7&4|1444&1|1091&1|147&3|33&4|746&3|154&2|204&3|64&3|150&2|158&2|191&5|277&5|94&1|190&5
615&4|690&1|521&4|298&5|50&5|527&3|7&4|6&5|371&5|276&4|507&4|479&4;286&5|487&5|691&5|385&5;615&4|690&1|521&4|298&5|50&5|527&3|7&4|6&5|371&5|276&4|507&4|479&4|286&5|487&5|691&5|385&5
127&5|380&4|69&5|1124&4|159&4|273&4|79&5|121&4|447&3|90&2|71&3|144&5;1078&3|403&3|732&4|797&4;127&5|380&4|69&5|1124&4|159&4|273&4|79&5|121&4|447&3|90&2|71&3|144&5|1078&3|403&3|732&4|797&4
333&1|345&4|328&2|300&3|874&3|286&5|308&2|258&3|319&2|1296&3|311&3|305&4;326&3|337&2|323&2|321&2;333&1|345&4|328&2|300&3|874&3|286&5|308&2|258&3|319&2|1296&3|311&3|305&4|326&3|337&2|323&2|321&2
391&3|1067&4|474&4|578&3|195&4|226&5|85&5|12&5|134&5|182&5|180&5|385&5;926&3|1228&4|151&4|269&5;391&3|1067&4|474&4|578&3|195&4|226&5|85&5|12&5|134&5|182&5|180&5|385&5|926&3|1228&4|151&4|269&5
92&3|182&4|357&4|427&4|7&5|56&5|939&4|172&5|117&4|480&4|96&5|1&4;431&4|276&5|173&5|135&4;92&3|182&4|357&4|427&4|7&5|56&5|939&4|172&5|117&4|480&4|96&5|1&4|431&4|276&5|173&5|135&4
125&4|471&4|591&5|409&3|1197&2|975&4|257&4|111&2|1016&3|294&4|117&5|300&5;118&4|293&4|284&4|410&4;125&4|471&4|591&5|409&3|1197&2|975&4|257&4|111&2|1016&3|294&4|117&5|300&5|118&4|293&4|284&4|410&4
127&3|323&2|181&1|172&1|568&4|174&1|325&2|321&3|64&5|678&2|50&1|56&5;510&3|258&5|182&5|187&2;127&3|323&2|181&1|172&1|568&4|174&1|325&2|321&3|64&5|678&2|50&1|56&5|510&3|258&5|182&5|187&2
70&5|97&5|82&4|257&5|241&3|50&5|88&4|318&5|216&4|125&4|38&4|692&5;197&4|98&4|234&4|562&3;70&5|97&5|82&4|257&5|241&3|50&5|88&4|318&5|216&4|125&4|38&4|692&5|197&4|98&4|234&4|562&3
483&3|98&4|815&4|535&4|56&3|181&3|178&5|487&4|100&4|64&5|195&3|660&3;333&3|237&4|1226&4|1136&4;483&3|98&4|815&4|535&4|56&3|181&3|178&5|487&4|100&4|64&5|195&3|660&3|333&3|237&4|1226&4|1136&4
229&3|864&4|550&4|58&4|505&5|462&4|127&5|722&3|802&3|249&4|514&5|292&4;230&4|155&1|892&2|77&3;229&3|864&4|550&4|58&4|505&5|462&4|127&5|722&3|802&3|249&4|514&5|292&4|230&4|155&1|892&2|77&3
717&4|689&5|508&5|1054&4|993&4|121&5|1028&5|118&5|756&5|274&5|546&4|1190&5;1277&5|1051&5|818&3|934&3;717&4|689&5|508&5|1054&4|993&4|121&5|1028&5|118&5|756&5|274&5|546&4|1190&5|1277&5|1051&5|818&3|934&3
760&1|101&3|8&3|715&3|821&2|222&3|307&5|684&4|86&4|317&2|167&3|219&5;376&2|818&2|636&4|790&4;760&1|101&3|8&3|715&3|821&2|222&3|307&5|684&4|86&4|317&2|167&3|219&5|376&2|818&2|636&4|790&4
258&2|873&3|301&3|302&2|346&4|7&3|922&4|294&5|690&4|1&3|744&4|455&1;628&3|1009&4|117&4|118&1;258&2|873&3|301&3|302&2|346&4|7&3|922&4|294&5|690&4|1&3|744&4|455&1|628&3|1009&4|117&4|118&1
268&4|988&1|332&3|748&2|286&5|327&4|302&4|879&1|330&3|323&1|681&1|264&1;358&1|923&5|272&5|243&1;268&4|988&1|332&3|748&2|286&5|327&4|302&4|879&1|330&3|323&1|681&1|264&1|358&1|923&5|272&5|243&1
322&2|313&4|269&3|258&4|690&3|288&5|300&2|302&5|316&4|303&5|912&3|328&4;1105&1|875&1|312&2|887&4;322&2|313&4|269&3|258&4|690&3|288&5|300&2|302&5|316&4|303&5|912&3|328&4|1105&1|875&1|312&2|887&4
265&4|435&5|134&5|174&4|98&5|48&5|56&5|518&5|79&4|542&1|504&5|806&5;191&5|135&5|208&5|1184&1;265&4|435&5|134&5|174&4|98&5|48&5|56&5|518&5|79&4|542&1|504&5|806&5|191&5|135&5|208&5|1184&1
121&4|64&5|1095&4|125&4|743&4|1&3|273&4|276&4|105&4|546&3|412&1|827&3;1047&3|405&5|24&4|117&5;121&4|64&5|1095&4|125&4|743&4|1&3|273&4|276&4|105&4|546&3|412&1|827&3|1047&3|405&5|24&4|117&5
519&4|702&3|924&4|185&5|523&3|1047&3|692&3|122&3|485&3|492&4|638&4|507&4;633&5|22&3|491&4|453&2;519&4|702&3|924&4|185&5|523&3|1047&3|692&3|122&3|485&3|492&4|638&4|507&4|633&5|22&3|491&4|453&2
204&3|135&4|157&2|640&2|96&3|679&2|1104&5|615&2|659&4|56&3|269&4|855&3;153&3|171&4|195&4|180&3;204&3|135&4|157&2|640&2|96&3|679&2|1104&5|615&2|659&4|56&3|269&4|855&3|153&3|171&4|195&4|180&3
692&3|294&3|164&3|11&4|31&3|127&5|956&3|195&4|240&2|58&4|208&3|318&5;712&3|100&4|237&4|143&3;692&3|294&3|164&3|11&4|31&3|127&5|956&3|195&4|240&2|58&4|208&3|318&5|712&3|100&4|237&4|143&3
127&4|1&5|70&4|56&4|429&4|15&5|199&4|497&3|85&4|95&5|510&4|168&3;230&3|715&2|153&4|47&3;127&4|1&5|70&4|56&4|429&4|15&5|199&4|497&3|85&4|95&5|510&4|168&3|230&3|715&2|153&4|47&3
369&5|873&3|222&4|328&3|105&1|823&2|755&3|294&1|127&4|237&1|597&4|335&3;275&5|1177&5|748&4|283&4;369&5|873&3|222&4|328&3|105&1|823&2|755&3|294&1|127&4|237&1|597&4|335&3|275&5|1177&5|748&4|283&4
164&4|54&4|568&4|122&3|592&3|455&5|168&5|1017&4|816&3|1139&3|174&5|941&4;99&4|418&4|588&4|421&4;164&4|54&4|568&4|122&3|592&3|455&5|168&5|1017&4|816&3|1139&3|174&5|941&4|99&4|418&4|588&4|421&4
543&3|609&3|127&5|404&5|444&5|228&4|269&3|430&3|237&5|307&5|382&4|203&5;669&1|625&3|387&3|641&5;543&3|609&3|127&5|404&5|444&5|228&4|269&3|430&3|237&5|307&5|382&4|203&5|669&1|625&3|387&3|641&5
367&4|321&5|1035&4|237&5|70&4|301&4|167&4|118&4|692&5|566&4|254&3|304&2;781&4|153&4|50&5|181&4;367&4|321&5|1035&4|237&5|70&4|301&4|167&4|118&4|692&5|566&4|254&3|304&2|781&4|153&4|50&5|181&4
49&5|709&5|731&4|111&5|794&4|369&4|724&4|781&4|722&5|553&5|294&4|451&5;20&4|282&4|15&4|546&4;49&5|709&5|731&4|111&5|794&4|369&4|724&4|781&4|722&5|553&5|294&4|451&5|20&4|282&4|15&4|546&4
856&4|328&2|895&3|559&2|172&4|92&4|250&2|686&4|474&3|338&1|301&3|806&4;1141&3|919&5|99&4|494&4;856&4|328&2|895&3|559&2|172&4|92&4|250&2|686&4|474&3|338&1|301&3|806&4|1141&3|919&5|99&4|494&4
129&4|345&4|258&3|879&3|322&3|321&4|294&3|124&4|117&3|273&3|150&4|508&4;137&3|717&1|7&4|871&2;129&4|345&4|258&3|879&3|322&3|321&4|294&3|124&4|117&3|273&3|150&4|508&4|137&3|717&1|7&4|871&2
294&4|301&2|539&4|323&4|286&3|300&3|339&2|258&4|259&2|269&3|313&5|678&4;338&4|508&3|1&5|15&5;294&4|301&2|539&4|323&4|286&3|300&3|339&2|258&4|259&2|269&3|313&5|678&4|338&4|508&3|1&5|15&5
340&5|689&1|310&3|258&4|918&3|328&1|319&3|325&5|330&3|327&3|914&4|678&2;687&1|881&2|878&2|988&2;340&5|689&1|310&3|258&4|918&3|328&1|319&3|325&5|330&3|327&3|914&4|678&2|687&1|881&2|878&2|988&2
302&5|268&5|340&5|751&4|313&4|324&4|749&4|344&1|258&3|333&4|754&1|315&3;752&4|886&4|349&3|1105&2;302&5|268&5|340&5|751&4|313&4|324&4|749&4|344&1|258&3|333&4|754&1|315&3|752&4|886&4|349&3|1105&2
304&4|237&4|286&3|116&4|282&4|748&3|678&4|287&4|124&3|471&4|742&4|508&4;871&2|285&4|117&4|15&4;304&4|237&4|286&3|116&4|282&4|748&3|678&4|287&4|124&3|471&4|742&4|508&4|871&2|285&4|117&4|15&4
339&3|319&4|269&4|307&2|301&3|306&3|313&4|258&4|333&4|315&4|272&2|294&4;937&5|748&5|288&5|352&5;339&3|319&4|269&4|307&2|301&3|306&3|313&4|258&4|333&4|315&4|272&2|294&4|937&5|748&5|288&5|352&5
284&4|21&3|288&3|13&5|25&4|225&4|763&2|24&3|952&4|118&4|15&4|121&4;926&3|934&2|476&3|756&2;284&4|21&3|288&3|13&5|25&4|225&4|763&2|24&3|952&4|118&4|15&4|121&4|926&3|934&2|476&3|756&2
211&5|125&5|650&4|1192&4|237&5|238&1|64&5|498&5|174&5|240&1|11&4|132&5;141&4|142&4|447&1|926&3;211&5|125&5|650&4|1192&4|237&5|238&1|64&5|498&5|174&5|240&1|11&4|132&5|141&4|142&4|447&1|926&3
358&3|95&4|539&2|1240&3|101&2|189&4|169&4|91&3|71&4|751&3|1&4|206&3;410&1|235&3|111&4|926&2;358&3|95&4|539&2|1240&3|101&2|189&4|169&4|91&3|71&4|751&3|1&4|206&3|410&1|235&3|111&4|926&2
508&3|328&4|1012&1|25&4|287&3|208&4|1028&3|168&2|300&4|127&3|523&3|204&5;763&3|1132&4|412&4|410&5;508&3|328&4|1012&1|25&4|287&3|208&4|1028&3|168&2|300&4|127&3|523&3|204&5|763&3|1132&4|412&4|410&5
251&5|221&3|293&3|297&4|275&2|124&5|845&4|100&5|248&3|287&4|126&4|285&5;536&5|750&5|269&5|276&5;251&5|221&3|293&3|297&4|275&2|124&5|845&4|100&5|248&3|287&4|126&4|285&5|536&5|750&5|269&5|276&5
477&5|118&3|125&1|151&1|1&5|14&4|283&4|275&4|866&2|276&2|15&5|476&4;820&3|934&3|412&2|235&4;477&5|118&3|125&1|151&1|1&5|14&4|283&4|275&4|866&2|276&2|15&5|476&4|820&3|934&3|412&2|235&4
427&4|77&3|357&4|64&5|118&2|660&5|468&3|240&1|282&4|742&4|510&4|7&2;220&5|298&2|582&3|23&3;427&4|77&3|357&4|64&5|118&2|660&5|468&3|240&1|282&4|742&4|510&4|7&2|220&5|298&2|582&3|23&3
354&4|311&4|303&3|242&4|258&4|321&3|333&4|887&3|340&4|1024&3|328&4|315&5;307&2|344&2|896&2|326&3;354&4|311&4|303&3|242&4|258&4|321&3|333&4|887&3|340&4|1024&3|328&4|315&5|307&2|344&2|896&2|326&3
294&5|98&1|568&5|153&4|208&5|172&5|496&5|385&5|485&5|71&5|132&5|659&4;95&5|181&5|88&5|22&5;294&5|98&1|568&5|153&4|208&5|172&5|496&5|385&5|485&5|71&5|132&5|659&4|95&5|181&5|88&5|22&5
509&4|190&4|511&5|792&3|464&5|1268&2|427&3|46&5|708&5|180&5|70&5|83&5;1044&5|1168&4|403&4|1267&4;509&4|190&4|511&5|792&3|464&5|1268&2|427&3|46&5|708&5|180&5|70&5|83&5|1044&5|1168&4|403&4|1267&4
258&5|888&4|879&2|881&2|328&2|259&4|269&4|338&1|872&3|300&3|289&3|288&3;1175&5|683&5|889&5|270&5;258&5|888&4|879&2|881&2|328&2|259&4|269&4|338&1|872&3|300&3|289&3|288&3|1175&5|683&5|889&5|270&5
597&2|235&3|222&4|15&3|121&4|284&3|1028&3|118&4|1011&3|258&3|1&4|748&2;1322&2|824&2|1312&2|831&1;597&2|235&3|222&4|15&3|121&4|284&3|1028&3|118&4|1011&3|258&3|1&4|748&2|1322&2|824&2|1312&2|831&1
22&4|678&1|64&5|528&5|117&2|15&5|754&3|176&4|295&4|238&1|288&5|70&3;255&2|12&4|619&4|1226&4;22&4|678&1|64&5|528&5|117&2|15&5|754&3|176&4|295&4|238&1|288&5|70&3|255&2|12&4|619&4|1226&4
286&4|285&4|129&3|847&3|288&2|744&3|149&4|1011&4|127&4|1067&4|297&3|245&3;870&2|100&5|327&4|306&4;286&4|285&4|129&3|847&3|288&2|744&3|149&4|1011&4|127&4|1067&4|297&3|245&3|870&2|100&5|327&4|306&4
735&4|801&3|572&4|215&4|455&4|566&3|790&3|89&4|378&3|28&3|558&1|317&4;304&1|67&4|143&3|1303&2;735&4|801&3|572&4|215&4|455&4|566&3|790&3|89&4|378&3|28&3|558&1|317&4|304&1|67&4|143&3|1303&2
121&5|421&5|625&5|298&5|118&5|588&5|633&5|406&4|38&5|172&5|288&5|27&5;15&5|207&5|197&5|133&5;121&5|421&5|625&5|298&5|118&5|588&5|633&5|406&4|38&5|172&5|288&5|27&5|15&5|207&5|197&5|133&5
462&4|212&4|300&1|213&4|463&5|475&4|713&3|70&4|127&4|198&5|258&5|323&2;1214&1|381&5|582&5|949&2;462&4|212&4|300&1|213&4|463&5|475&4|713&3|70&4|127&4|198&5|258&5|323&2|1214&1|381&5|582&5|949&2
286&5|321&3|258&5|301&5|323&5|895&5|690&5|294&4|300&5|292&3|243&3|307&4;678&5|988&4|748&3|901&4;286&5|321&3|258&5|301&5|323&5|895&5|690&5|294&4|300&5|292&3|243&3|307&4|678&5|988&4|748&3|901&4
117&4|323&4|125&5|1&4|50&5|245&3|471&4|24&3|273&3|9&3|742&2|325&1;7&3|756&4|118&3|410&4;117&4|323&4|125&5|1&4|50&5|245&3|471&4|24&3|273&3|9&3|742&2|325&1|7&3|756&4|118&3|410&4
100&5|180&5|285&4|12&4|273&2|19&4|294&3|584&4|5&3|461&4|135&5|692&4;39&3|218&4|1168&2|226&2;100&5|180&5|285&4|12&4|273&2|19&4|294&3|584&4|5&3|461&4|135&5|692&4|39&3|218&4|1168&2|226&2
531&3|166&4|238&5|313&2|268&5|483&5|496&5|345&2|474&5|660&4|286&5|81&4;200&5|357&5|285&5|528&4;531&3|166&4|238&5|313&2|268&5|483&5|496&5|345&2|474&5|660&4|286&5|81&4|200&5|357&5|285&5|528&4
1013&4|235&3|120&4|328&4|285&5|326&4|288&3|181&5|118&4|111&4|121&3|147&4;265&3|489&5|505&4|89&4;1013&4|235&3|120&4|328&4|285&5|326&4|288&3|181&5|118&4|111&4|121&3|147&4|265&3|489&5|505&4|89&4
42&4|173&3|194&3|657&5|431&3|47&4|55&4|4&3|265&3|648&4|186&3|273&4;8&3|5&3|695&3|294&2;42&4|173&3|194&3|657&5|431&3|47&4|55&4|4&3|265&3|648&4|186&3|273&4|8&3|5&3|695&3|294&2
258&2|988&4|313&5|245&4|682&3|328&4|346&3|269&4|289&3|315&3|243&2|876&3;249&2|50&4|298&4|295&3;258&2|988&4|313&5|245&4|682&3|328&4|346&3|269&4|289&3|315&3|243&2|876&3|249&2|50&4|298&4|295&3
403&4|250&3|705&4|993&4|72&4|294&3|1014&3|326&3|134&4|88&4|554&4|568&4;196&4|604&4|117&3|73&5;403&4|250&3|705&4|993&4|72&4|294&3|1014&3|326&3|134&4|88&4|554&4|568&4|196&4|604&4|117&3|73&5
497&4|168&4|273&5|474&4|864&1|1&4|455&4|50&4|1197&4|150&4|123&4|1073&4;432&3|202&4|218&4|328&3;497&4|168&4|273&5|474&4|864&1|1&4|455&4|50&4|1197&4|150&4|123&4|1073&4|432&3|202&4|218&4|328&3
269&4|328&3|902&5|288&4|313&3|305&4|271&4|307&5|324&1|340&5|347&5|300&5;322&4|260&3|323&4|748&2;269&4|328&3|902&5|288&4|313&3|305&4|271&4|307&5|324&1|340&5|347&5|300&5|322&4|260&3|323&4|748&2
117&4|742&4|282&3|685&4|121&3|151&2|477&2|1016&5|109&3|15&3|1&3|7&4;405&2|21&1|926&3|254&1;117&4|742&4|282&3|685&4|121&3|151&2|477&2|1016&5|109&3|15&3|1&3|7&4|405&2|21&1|926&3|254&1
705&5|181&4|288&4|457&1|12&4|878&1|332&2|480&5|56&5|177&5|423&5|855&4;268&4|748&2|475&4|1298&3;705&5|181&4|288&4|457&1|12&4|878&1|332&2|480&5|56&5|177&5|423&5|855&4|268&4|748&2|475&4|1298&3
539&2|559&2|199&4|435&3|636&3|268&4|12&5|258&2|95&4|22&4|101&2|117&3;398&2|774&3|722&2|1231&3;539&2|559&2|199&4|435&3|636&3|268&4|12&5|258&2|95&4|22&4|101&2|117&3|398&2|774&3|722&2|1231&3
143&5|485&5|504&5|514&5|962&3|294&1|165&5|23&4|134&4|14&5|319&4|321&4;704&3|276&4|847&4|50&3;143&5|485&5|504&5|514&5|962&3|294&1|165&5|23&4|134&4|14&5|319&4|321&4|704&3|276&4|847&4|50&3
183&3|204&4|174&5|172&5|133&5|654&5|168&5|530&4|153&3|265&2|258&3|173&4;136&5|195&5|98&4|176&4;183&3|204&4|174&5|172&5|133&5|654&5|168&5|530&4|153&3|265&2|258&3|173&4|136&5|195&5|98&4|176&4
191&3|288&4|147&5|693&5|117&5|333&4|200&4|332&4|1038&3|245&3|276&5|207&4;39&2|660&5|127&5|199&5;191&3|288&4|147&5|693&5|117&5|333&4|200&4|332&4|1038&3|245&3|276&5|207&4|39&2|660&5|127&5|199&5
322&3|311&5|326&3|268&4|321&2|300&4|879&4|294&2|288&2|340&3|286&3|308&2;222&4|224&5|408&4|298&4;322&3|311&5|326&3|268&4|321&2|300&4|879&4|294&2|288&2|340&3|286&3|308&2|222&4|224&5|408&4|298&4
237&2|1344&4|255&3|595&3|111&3|127&2|15&4|275&3|150&1|411&1|744&4|24&2;985&2|829&2|118&1|1051&2;237&2|1344&4|255&3|595&3|111&3|127&2|15&4|275&3|150&1|411&1|744&4|24&2|985&2|829&2|118&1|1051&2
322&1|300&3|246&4|875&2|109&4|1&4|276&3|273&2|237&3|1012&5|301&1|15&4;535&2|181&2|125&4|742&3;322&1|300&3|246&4|875&2|109&4|1&4|276&3|273&2|237&3|1012&5|301&1|15&4|535&2|181&2|125&4|742&3
343&3|340&4|880&5|260&4|872&5|887&5|292&5|300&4|271&5|333&4|358&1|682&4;322&3|294&4|1527&4|908&4;343&3|340&4|880&5|260&4|872&5|887&5|292&5|300&4|271&5|333&4|358&1|682&4|322&3|294&4|1527&4|908&4
156&4|845&3|64&5|118&4|568&4|100&5|25&4|258&4|15&5|250&2|284&2|96&4;924&3|281&4|748&2|546&4;156&4|845&3|64&5|118&4|568&4|100&5|25&4|258&4|15&5|250&2|284&2|96&4|924&3|281&4|748&2|546&4
358&4|1233&4|306&4|328&4|324&4|1392&4|681&4|307&4|286&5|689&4|264&4|360&4;271&3|300&4|242&4|872&4;358&4|1233&4|306&4|328&4|324&4|1392&4|681&4|307&4|286&5|689&4|264&4|360&4|271&3|300&4|242&4|872&4
70&4|239&3|143&4|462&4|97&4|72&2|28&4|1222&2|660&5|739&3|431&3|15&4;31&4|539&4|862&1|205&3;70&4|239&3|143&4|462&4|97&4|72&2|28&4|1222&2|660&5|739&3|431&3|15&4|31&4|539&4|862&1|205&3
83&3|211&4|568&3|186&3|131&2|108&3|1039&3|47&2|226&3|72&2|51&3|1014&2;1471&2|41&3|716&4|158&2;83&3|211&4|568&3|186&3|131&2|108&3|1039&3|47&2|226&3|72&2|51&3|1014&2|1471&2|41&3|716&4|158&2
12&1|1042&5|250&1|770&2|470&5|237&2|596&4|406&1|95&3|356&5|331&3|385&4;1399&2|327&3|333&3|147&4;12&1|1042&5|250&1|770&2|470&5|237&2|596&4|406&1|95&3|356&5|331&3|385&4|1399&2|327&3|333&3|147&4
474&5|23&4|662&3|196&5|300&5|98&5|162&4|174&5|514&5|1020&5|82&5|866&3;499&4|168&5|1050&4|445&3;474&5|23&4|662&3|196&5|300&5|98&5|162&4|174&5|514&5|1020&5|82&5|866&3|499&4|168&5|1050&4|445&3
242&4|750&4|269&5|312&2|305&4|318&5|303&5|344&4|1628&5|531&5|311&3|286&4;223&1|235&1|650&5|1101&4;242&4|750&4|269&5|312&2|305&4|318&5|303&5|344&4|1628&5|531&5|311&3|286&4|223&1|235&1|650&5|1101&4
1&4|768&3|95&4|418&3|393&5|404&2|225&5|172&4|82&5|878&4|477&5|422&5;969&2|102&5|501&3|94&5;1&4|768&3|95&4|418&3|393&5|404&2|225&5|172&4|82&5|878&4|477&5|422&5|969&2|102&5|501&3|94&5
692&2|566&5|230&5|17&3|690&4|100&5|727&2|379&3|410&4|258&4|460&1|751&4;50&5|236&1|1054&1|1216&2;692&2|566&5|230&5|17&3|690&4|100&5|727&2|379&3|410&4|258&4|460&1|751&4|50&5|236&1|1054&1|1216&2
429&4|161&5|1126&1|451&5|603&4|1039&4|134&3|2&5|1511&3|127&5|195&5|180&2;91&2|419&5|565&3|5&4;429&4|161&5|1126&1|451&5|603&4|1039&4|134&3|2&5|1511&3|127&5|195&5|180&2|91&2|419&5|565&3|5&4
294&5|690&3|302&3|269&3|327&3|358&2|748&4|323&3|245&4|332&3|328&4|322&4;538&4|988&2|754&3|689&3;294&5|690&3|302&3|269&3|327&3|358&2|748&4|323&3|245&4|332&3|328&4|322&4|538&4|988&2|754&3|689&3
482&5|168&4|192&1|484&3|496&2|222&5|919&5|189&4|135&5|204&5|172&4|191&5;208&5|434&4|175&5|96&5;482&5|168&4|192&1|484&3|496&2|222&5|919&5|189&4|135&5|204&5|172&4|191&5|208&5|434&4|175&5|96&5
1011&2|1012&3|246&5|269&4|1&4|109&5|327&4|150&4|181&3|50&4|127&5|276&5;455&3|1059&4|108&4|288&4;1011&2|1012&3|246&5|269&4|1&4|109&5|327&4|150&4|181&3|50&4|127&5|276&5|455&3|1059&4|108&4|288&4
550&3|181&5|230&1|7&3|66&3|225&5|301&5|318&4|1078&4|260&2|202&1|447&3;1428&5|1411&1|1508&3|934&4;550&3|181&5|230&1|7&3|66&3|225&5|301&5|318&4|1078&4|260&2|202&1|447&3|1428&5|1411&1|1508&3|934&4
977&5|50&5|288&4|930&5|222&4|898&4|236&4|895&3|346&5|447&3|322&4|458&1;665&2|567&4|672&3|860&4;977&5|50&5|288&4|930&5|222&4|898&4|236&4|895&3|346&5|447&3|322&4|458&1|665&2|567&4|672&3|860&4
222&4|127&2|15&2|246&5|172&3|474&5|268&5|833&1|523&5|176&4|125&3|42&5;228&3|636&2|23&4|132&3;222&4|127&2|15&2|246&5|172&3|474&5|268&5|833&1|523&5|176&4|125&3|42&5|228&3|636&2|23&4|132&3
690&3|879&4|258&5|1025&5|1296&2|938&4|304&3|334&4|1393&2|989&3|306&2|242&4;333&3|324&3|319&4|286&4;690&3|879&4|258&5|1025&5|1296&2|938&4|304&3|334&4|1393&2|989&3|306&2|242&4|333&3|324&3|319&4|286&4
