userId;state
360;170&5|955&5|654&5|963&5|
363;96&5|173&5|12&5|248&5|
355;300&4|310&4|682&4|689&4|
357;1028&5|280&5|866&5|283&5|
361;705&5|98&5|514&5|170&5|
365;813&5|150&5|268&5|100&5|
367;50&5|98&5|324&5|302&5|
356;333&5|288&4|328&4|326&4|
132;137&4|124&4|154&4|523&4|
368;217&5|313&5|201&5|379&4|
373;169&5|259&5|496&5|451&5|
370;607&5|257&5|603&5|443&5|
371;202&5|79&5|22&5|527&5|
374;100&5|97&5|48&5|241&5|
350;195&5|132&5|654&5|136&5|
337;151&5|135&5|15&5|471&5|
378;313&5|318&5|213&5|22&5|
372;219&5|581&5|273&5|234&5|
377;173&5|168&5|154&5|272&5|
375;525&4|356&4|684&4|443&4|
359;50&5|286&5|7&5|1&4|
379;174&5|56&5|100&5|187&5|
380;190&5|12&5|174&4|357&4|
381;50&5|514&5|175&5|318&5|
385;46&5|182&5|855&5|32&5|
382;334&5|1229&5|56&5|474&5|
362;689&5|347&5|300&5|302&5|
387;89&5|919&5|156&5|461&5|
366;448&5|219&5|200&5|53&5|
369;172&5|919&5|271&5|268&5|
386;685&4|323&4|50&4|1016&4|
389;514&5|187&5|485&5|610&5|
383;213&5|286&5|604&5|268&5|
390;126&5|9&5|258&5|304&5|
393;50&5|147&5|496&5|591&5|
376;707&4|111&4|603&4|357&4|
394;204&5|385&5|168&5|123&5|
391;9&5|186&5|59&5|504&5|
392;528&5|191&5|632&5|246&5|
398;124&5|216&5|71&5|648&5|
399;318&5|588&5|143&5|196&5|
388;288&5|298&5|218&5|98&5|
364;288&4|269&4|948&4|990&4|
401;435&5|196&5|144&5|735&5|
396;291&4|148&4|323&4|974&4|
397;192&5|172&5|199&5|50&5|
402;286&5|479&5|182&5|96&5|
395;186&5|343&5|378&5|181&5|
403;235&5|7&5|121&5|471&5|
405;66&5|174&5|47&5|67&5|
400;288&4|269&4|895&4|321&4|
384;313&5|689&4|258&4|879&4|
406;135&5|624&5|671&5|180&5|
353;313&5|316&5|905&4|750&4|
407;134&5|191&5|496&5|98&5|
409;1558&5|474&5|286&5|1194&5|
404;270&4|258&4|310&4|332&4|
413;14&5|303&5|275&5|283&5|
408;324&5|294&5|315&5|270&5|
410;286&4|905&4|690&4|873&4|
416;183&5|873&5|215&5|729&5|
417;727&5|190&5|55&5|357&5|
412;7&5|186&5|276&5|174&5|
420;283&5|285&5|179&5|690&5|
422;286&5|665&5|250&5|98&5|
411;709&5|210&5|194&5|603&5|
419;50&5|488&5|306&5|197&5|
425;156&5|172&5|302&5|92&5|
423;100&5|276&5|750&5|9&5|
415;174&5|748&5|328&5|56&5|
429;199&5|166&5|100&5|1101&5|
428;302&5|300&5|751&5|269&5|
427;682&5|989&5|289&5|332&5|
418;288&5|304&4|895&4|313&3|
424;333&5|9&5|294&5|990&5|
432;508&5|255&5|1012&5|293&5|
421;443&5|129&5|56&5|144&5|
435;183&5|171&5|433&5|343&5|
436;327&5|182&5|144&5|1468&5|
430;19&5|98&5|318&5|221&5|
426;603&5|199&5|482&5|133&5|
434;928&5|237&5|411&5|274&5|
437;663&5|1036&5|221&5|479&5|
442;92&5|710&5|172&5|176&5|
440;921&5|736&5|312&5|1194&5|
445;346&5|174&4|151&4|902&4|
447;83&5|1142&5|248&5|56&5|
438;282&5|50&5|321&5|237&5|
449;1073&5|639&5|59&5|100&5|
450;133&5|736&5|197&5|923&5|
446;270&4|887&4|269&4|332&3|
439;1600&5|242&5|300&4|7&4|
431;748&4|300&4|538&4|245&4|
451;294&5|678&5|288&5|260&5|
452;154&5|480&5|7&5|496&5|
433;269&5|60&5|50&5|12&5|
454;318&5|566&4|70&4|496&4|
453;172&5|357&5|12&5|276&5|
414;270&5|272&5|258&5|302&5|
448;319&5|345&5|896&5|270&5|
455;82&5|56&5|200&5|423&5|
457;194&5|51&5|239&5|186&5|
456;172&5|474&5|479&5|603&5|
444;251&5|306&5|9&5|313&4|
458;588&5|408&5|484&5|956&5|
459;172&5|148&5|989&5|8&5|
460;276&5|137&5|19&5|306&4|
462;272&5|310&5|237&5|866&5|
461;347&4|258&4|304&4|313&4|
467;127&5|109&5|268&5|1142&5|
468;195&5|22&5|216&5|180&5|
466;995&5|882&5|50&5|1607&5|
472;541&5|831&5|550&5|72&5|
465;64&5|258&5|202&4|136&4|
463;116&5|275&5|253&5|283&5|
471;932&5|94&5|393&5|8&5|
474;124&5|4&5|499&5|211&5|
464;127&5|194&5|293&5|248&5|
469;656&5|705&5|507&5|474&5|
476;168&5|208&5|186&5|194&5|
478;100&5|64&5|357&5|216&5|
470;283&5|471&5|276&5|475&4|
441;9&4|751&4|117&4|342&4|
479;474&5|1&5|183&5|480&5|
484;468&5|1&5|293&5|924&5|
486;50&5|880&5|9&5|285&5|
480;166&5|169&5|213&5|12&5|
487;64&5|239&5|955&5|273&5|
482;294&4|301&4|311&4|328&4|
481;648&5|524&5|659&5|70&5|
473;150&5|246&5|268&5|116&5|
492;527&5|56&5|511&5|528&5|
493;50&5|455&5|265&5|318&5|
490;93&4|124&4|24&4|410&4|
483;50&5|1152&4|274&4|181&4|
489;751&5|908&5|316&5|347&5|
496;559&5|727&5|87&5|277&5|
495;416&5|147&5|173&5|86&5|
497;249&5|173&5|156&5|127&5|
488;651&5|633&5|64&5|318&4|
498;156&5|135&5|160&5|652&5|
499;663&5|427&5|69&5|657&5|
491;684&5|45&5|657&5|273&5|
477;1051&5|553&5|111&5|275&5|
500;42&5|708&5|479&5|514&5|
502;342&4|895&4|313&4|307&4|
503;498&5|98&5|496&5|213&5|
494;183&5|174&5|663&5|127&5|
504;292&5|98&5|132&5|729&5|
505;588&5|402&5|22&5|498&5|
506;523&5|746&5|177&5|194&5|
443;12&5|333&5|309&5|343&5|
508;154&5|209&5|423&5|132&5|
511;880&5|872&5|346&4|908&4|
514;433&5|188&5|174&5|474&5|
515;315&4|362&4|682&4|307&4|
512;186&5|198&5|318&5|11&5|
475;316&5|306&5|347&4|381&4|
518;222&5|121&5|125&5|129&5|
509;271&4|326&4|181&4|258&4|
516;169&5|50&5|582&5|628&4|
510;678&4|323&4|258&4|333&3|
524;124&5|527&5|433&5|302&5|
501;1067&5|475&5|7&4|307&4|
525;1&4|685&4|1315&4|405&4|
521;109&5|206&5|721&4|147&4|
520;242&5|25&4|310&4|100&4|
523;382&5|189&5|204&5|116&5|
528;657&5|210&5|79&5|202&5|
532;339&5|313&5|588&5|277&5|
530;196&5|220&5|357&5|178&5|
529;682&4|310&4|333&4|300&4|
517;300&5|761&5|275&5|538&4|
527;9&5|526&5|180&5|172&5|
485;303&4|346&4|269&4|313&4|
507;826&5|288&5|1034&5|222&5|
533;430&5|205&5|132&5|739&5|
535;134&5|319&5|484&5|204&5|
513;50&5|323&5|210&5|252&5|
526;285&5|100&5|315&5|313&5|
519;1280&5|903&5|335&5|351&5|
537;135&5|205&5|644&5|511&5|
536;1115&5|694&5|427&5|378&5|
534;1199&5|456&5|147&5|717&5|
541;755&5|419&5|181&5|474&5|
538;69&5|318&5|187&5|127&5|
542;192&5|127&5|432&5|48&5|
545;1&5|228&5|50&5|230&5|
531;286&5|302&5|690&5|323&5|
547;328&4|312&4|321&4|319&4|
543;135&5|134&5|1159&5|60&5|
548;431&5|183&5|12&5|23&5|
546;5&5|760&5|53&5|181&5|
522;23&5|179&5|135&5|521&5|
551;578&5|655&5|433&5|735&5|
544;346&4|300&4|749&4|326&3|
552;258&4|286&4|121&4|126&4|
540;7&4|269&4|109&4|20&4|
554;230&5|191&5|215&5|98&5|
553;511&5|213&5|487&5|1194&5|
550;313&5|15&5|323&5|258&5|
559;520&5|315&5|216&5|318&5|
560;483&5|183&5|654&5|249&5|
561;432&5|273&5|12&5|56&5|
556;496&5|187&5|133&5|427&5|
539;661&5|170&5|59&5|319&5|
563;257&5|255&5|692&5|1035&4|
566;64&5|134&5|165&5|405&5|
557;307&5|197&5|96&5|298&5|
564;292&4|472&4|117&4|245&4|
549;127&5|866&4|748&4|121&4|
567;185&5|474&5|479&5|506&5|
569;151&5|286&5|19&5|126&5|
576;100&4|257&4|125&4|825&4|
577;181&5|28&5|121&5|866&5|
573;528&4|178&4|10&4|174&4|
579;258&5|603&5|216&5|202&5|
574;268&5|242&5|100&5|344&5|
555;181&5|169&5|100&5|236&5|
562;82&5|148&5|173&5|50&5|
558;936&5|253&5|20&5|100&5|
575;168&5|173&5|96&5|98&4|
588;91&5|272&5|313&5|365&5|
565;179&5|713&5|190&5|707&5|
587;895&4|288&4|315&4|333&4|
568;488&5|134&5|641&5|479&5|
586;3&5|17&5|29&5|56&5|
585;213&5|198&5|70&5|1009&5|
582;293&5|475&5|93&5|7&5|
584;258&4|423&4|181&4|222&4|
591;45&5|1099&5|191&5|238&5|
581;1367&5|100&5|813&5|137&5|
592;174&5|421&5|285&5|117&5|
580;258&5|181&5|288&5|282&5|
583;200&5|12&5|268&5|100&5|
596;288&4|294&4|181&4|682&4|
599;111&5|1278&5|763&5|845&5|
593;56&5|161&5|83&5|478&5|
594;127&4|15&4|222&4|100&4|
597;283&5|300&5|825&5|293&5|
578;1016&4|678&3|751&3|346&3|
589;328&5|339&5|333&5|873&5|
601;50&5|181&5|763&5|1084&5|
602;181&5|678&4|9&4|358&4|
600;187&5|518&5|241&5|665&5|
590;286&5|150&5|137&5|126&5|
603;748&5|313&5|50&5|250&5|
595;14&5|1134&5|1142&5|508&5|
606;100&5|248&5|993&5|168&5|
607;511&5|487&4|100&4|855&4|
608;357&5|505&5|56&5|1063&5|
605;408&5|318&5|288&5|223&5|
610;12&5|153&5|185&5|162&5|
617;200&5|179&4|635&4|1019&4|
618;98&5|187&5|404&5|427&5|
614;147&5|126&4|121&4|276&4|
609;877&5|287&5|408&5|750&4|
615;519&5|192&5|191&5|529&5|
616;286&5|269&4|331&4|292&4|
611;306&5|286&5|346&5|752&5|
571;124&4|964&4|462&4|657&4|
619;176&5|651&5|258&5|118&5|
622;222&5|228&5|249&5|173&5|
621;79&5|117&5|578&5|50&5|
620;699&5|627&5|1&5|164&5|
604;100&5|448&5|127&4|447&4|
624;100&5|14&5|285&5|313&5|
612;1060&4|604&4|100&4|864&4|
627;51&5|22&5|199&5|187&5|
625;483&5|96&5|169&5|144&4|
629;684&5|23&5|111&5|64&5|
570;327&4|302&4|301&3|340&3|
632;64&5|184&5|174&5|50&5|
623;648&5|210&5|204&5|483&5|
572;476&4|319&4|14&4|286&4|
633;939&4|405&4|226&4|300&4|
634;9&5|276&5|744&5|950&5|
639;615&5|487&5|462&5|778&5|
630;111&5|595&5|742&5|216&5|
642;959&5|559&5|28&5|51&5|
637;1233&5|151&5|100&4|1344&4|
640;169&5|302&5|315&5|42&5|
626;268&4|327&4|302&4|258&4|
613;272&5|64&5|603&5|530&5|
643;176&5|1&5|208&5|603&5|
598;258&5|286&5|323&4|300&4|
638;181&5|174&5|430&5|265&5|
635;246&5|262&5|302&4|331&4|
644;322&5|748&4|988&4|181&4|
628;333&5|288&5|1296&5|1025&5|
631;346&4|289&4|313&4|310&4|
645;514&5|641&5|427&5|134&5|
648;222&5|685&5|435&5|208&5|
647;73&5|197&5|177&5|554&4|
650;479&5|50&5|484&5|134&5|
651;302&5|127&4|286&4|327&4|
654;736&5|302&5|408&5|28&5|
653;56&5|89&5|157&5|174&5|
636;596&5|258&5|313&5|121&5|
655;127&5|1131&5|320&5|962&5|
658;408&5|527&5|56&5|151&5|
656;272&3|346&3|302&3|270&3|
660;315&4|290&4|898&4|746&4|
659;705&5|606&5|177&5|496&5|
646;315&4|690&3|678&3|328&3|
663;56&5|150&5|272&5|763&5|
664;276&5|611&5|482&5|172&5|
649;127&5|471&5|24&4|252&4|
657;690&4|1009&4|151&4|922&4|
665;156&5|249&5|762&4|135&4|
666;134&5|707&5|529&5|651&5|
661;181&5|498&5|172&5|28&5|
662;285&5|6&5|93&5|985&4|
667;269&5|131&5|223&5|28&5|
641;511&5|285&5|432&5|513&5|
668;210&5|302&5|269&5|367&5|
673;340&5|750&5|310&5|272&5|
671;161&5|576&5|472&5|181&5|
669;647&5|192&5|114&5|490&5|
652;275&4|282&4|538&4|333&4|
677;300&5|101&5|268&5|455&5|
682;71&5|95&5|172&5|272&5|
679;483&5|286&5|173&5|357&5|
684;172&5|408&5|8&5|82&5|
676;174&5|50&5|173&5|168&5|
683;56&5|607&5|302&5|513&5|
674;742&5|282&5|111&5|866&5|
672;127&4|815&4|301&4|1028&4|
692;412&4|194&4|411&4|328&4|
690;238&5|64&5|218&5|98&5|
689;258&5|300&5|7&5|250&5|
686;48&5|518&5|135&5|474&5|
693;185&5|97&5|178&5|313&5|
685;325&3|324&3|319&2|340&2|
697;270&5|283&5|324&5|268&5|
698;83&5|50&5|613&5|173&5|
694;188&5|423&5|98&5|661&5|
680;50&5|169&5|14&5|150&5|
705;148&5|275&5|282&5|283&5|
670;479&5|659&5|483&5|228&5|
699;185&4|252&4|20&4|298&4|
707;347&5|1109&5|923&5|10&5|
704;648&5|193&5|135&5|488&5|
687;269&4|321&4|749&4|678&4|
695;1024&5|991&5|346&5|903&4|
708;740&5|313&5|845&5|319&5|
709;217&5|118&5|1059&5|50&5|
711;213&5|1160&5|381&5|70&5|
710;23&5|127&5|483&5|56&5|
712;173&5|785&5|66&5|172&5|
700;144&4|318&4|651&4|48&4|
715;90&5|1&5|265&5|318&5|
713;347&4|269&4|302&4|539&3|
681;289&5|898&4|990&4|539&4|
678;111&4|742&4|7&4|50&4|
716;91&5|432&5|1020&5|275&5|
719;520&5|64&5|98&5|660&5|
702;538&4|229&4|380&4|227&4|
721;179&5|471&5|328&5|196&5|
714;748&5|117&5|250&5|1016&5|
696;523&5|286&5|344&5|315&5|
722;333&5|628&4|286&4|130&4|
717;888&5|302&5|887&5|628&5|
724;326&4|895&4|328&4|333&4|
727;169&5|173&5|679&5|168&5|
725;286&5|9&4|328&4|879&4|
701;100&5|315&5|750&5|237&5|
718;282&5|742&5|300&5|751&5|
706;181&4|323&4|237&4|1&4|
691;1&5|604&5|735&5|79&5|
720;311&5|896&5|1062&5|898&4|
729;689&4|272&4|300&4|748&4|
726;25&4|1&4|274&4|310&4|
675;509&5|650&5|896&5|1628&5|
688;339&5|678&5|877&5|1127&5|
703;127&5|121&5|15&5|50&5|
738;603&5|313&5|228&5|89&5|
736;532&4|246&4|248&4|293&4|
734;318&5|283&5|143&5|202&5|
728;282&4|25&4|322&4|678&4|
