item_id;vectors
10;-0.15229355|0.89051425|-0.54655266|0.41305363|-0.27559465|0.27376562|0.12665063|0.37127304|0.040008873|0.08236505|0.12293249|-0.00019323826|0.81418586|-0.4292329|0.064757556|-0.5428103|-0.31973067|0.6573337|0.61562854|-0.6291053|-0.0064338148|-0.27670437|0.68452966|-0.5451215|0.47606206|0.31739116|-0.09303194|-0.09400583|-0.62877214|0.4239472|0.3261773|0.29972643|0.6822383|0.51791936|-0.020536426|-0.024955481|-0.1675568|0.0948775|0.49583757|-0.8959218|-0.62128913|0.10156952|-0.037009478|0.16334856|0.16167068|0.01565139|0.28482875|-0.56539804|0.64301956|0.15315655|0.26007253|-0.45414484|0.1412257|0.12968484|0.07616207|-0.34174448|-0.26505154|-0.67802346|-0.21663922|0.74692|-0.52488565|0.1817652|-0.48738956|0.7841051|-0.0727105|-0.61835176|-0.28016728|-0.62850636|-0.34465724|-0.014072418|0.34890527|-1.0461131|-0.2654153|-0.31010854|0.41946304|-0.130023|-0.27419877|-0.34798506|-0.1699575|-0.45940918|0.38915825|0.1480056|-0.048143715|-0.092823535|-0.67277503|-0.537844|-0.25055075|0.018462062|-0.784952|-0.2888625|-0.15770741|0.64196515|-0.1098111|-0.17124411|0.3616572|-0.09447342|0.33649224|0.48912194|-1.008893|-0.2460363
11;-0.503222|0.64166236|0.34269428|-0.093064845|-0.32580262|-0.32815447|-0.91638136|-0.13350162|0.2942604|0.073220894|-0.52113944|0.31590334|0.86395526|-0.40781873|0.5273955|-0.03276813|-0.4522748|0.5561217|0.9246812|-0.09377219|-0.0752912|-0.94414544|-0.089423746|-0.6336051|0.26905334|0.2874639|-0.33132857|-0.015218094|-1.2118721|-0.09087749|0.002664581|0.34235042|0.5042596|-0.29290587|0.111768045|0.65912116|-0.5148598|0.6806116|0.76565456|-0.11970621|0.13703907|0.3884289|-0.29504722|-0.658625|0.80831254|0.41569695|-1.1325958|0.070931256|0.18815076|0.7448433|0.10352512|0.066108465|0.7241231|-0.49332595|-0.2730123|0.088053405|-0.20535108|0.16488574|0.17389825|0.7697158|-0.5458505|-0.3774494|0.4660034|0.51059026|-0.65744424|-0.34195772|0.54287064|-0.65168|0.21040308|0.29357246|0.3674709|-0.48943898|0.20382473|0.01743552|-0.27606407|-0.11065984|-0.0930483|-0.60624963|0.122104384|-0.6541978|0.8033893|-0.1120068|-0.15879782|0.3403792|-1.0977216|0.010710895|-0.19107586|-1.2056866|-0.5938426|0.4643588|-0.60240686|-0.5650416|0.5379448|-0.912099|0.5464869|-0.6466751|0.8832029|0.47704622|0.2656961|-1.0729182
12;0.029109746|0.0755845|0.5695842|0.09644306|0.2601922|-0.05681499|-0.58785474|0.20343465|0.47420725|-0.30584237|-0.2884863|0.20941964|0.14774895|-0.4771322|0.20536092|0.019448578|-0.44822913|0.84061944|0.55010253|0.20245893|-0.29262567|-0.5233432|0.7519491|-0.7772373|-0.30297503|0.06770311|-0.33351284|0.29180598|-0.5105033|0.5124221|0.2928552|0.07340914|0.33366728|-0.2767951|0.04616887|0.6901603|0.19293155|-0.29416832|0.08718647|-0.78047967|0.038584217|-0.20581257|-0.1902948|-0.66680753|0.57532763|1.1596714|0.111512125|-0.562155|0.5000211|0.33716464|0.8736651|-0.5291675|0.28398547|-0.57711864|-0.34206817|-0.38531962|-0.9823429|-0.10103147|-0.77913916|0.044299215|0.41677272|-0.010459319|-1.3244699|0.53268087|0.19941084|-0.6037589|0.66627717|-0.28423703|-0.56120336|0.0121926665|0.57757586|-0.6323957|0.5149151|-0.48037088|0.12057242|-0.6826286|-0.09456935|-0.9667145|0.6573415|-0.38520226|0.23889111|-0.8114251|-0.26946276|0.30290765|-0.7413707|-0.53355485|0.016916096|-0.31696564|-0.6420064|-0.22640358|0.05059555|0.521966|0.51385784|0.18369487|-0.07681014|-0.048603013|0.12893127|0.19716857|-0.40887886|-0.17966107
13;-0.85879457|0.84112084|-0.0012056679|0.23285532|-0.6759515|0.23606363|-0.72826946|-0.48555303|0.40414405|-0.30285773|-0.39746708|0.40263945|0.3881471|-0.5319651|0.042238116|0.064150065|-0.39756417|1.304221|0.73847336|-0.048629496|-0.035195634|0.06661427|0.57231617|-0.09424555|-0.24592718|-0.24969299|-0.49911103|0.2536512|-0.47355473|-0.76818633|-0.24744083|0.34720963|0.9404304|-0.31033137|0.54867256|-0.047003567|-0.43906248|0.6719359|0.35411525|-0.17986861|0.025597349|0.47477427|0.43338123|-0.8294904|1.1223419|0.4496313|-0.3147293|-0.89818656|0.24288549|0.1780726|0.12185784|0.059091747|-0.1157986|0.16686356|-0.25865677|0.54777414|-0.15683195|-0.156484|0.28695604|0.45957842|-0.49650252|-0.50007737|-0.069414794|0.840788|-0.49566615|-0.447303|0.1991274|-0.2318913|-0.75946116|0.68078005|-0.10654062|-0.54623646|0.097412705|-0.026263475|0.36516413|-0.10078439|-0.44024116|-0.39523223|-0.24729767|-0.36934513|0.9901376|0.33940783|-0.65924025|0.1476369|-0.38633788|0.2638604|0.21613026|0.21986407|-0.39697805|0.44564772|-0.85289323|-0.30642086|0.59634835|-0.97798824|0.023288667|-0.13740289|0.9010235|0.5588248|-0.6709976|-0.55179226
14;-0.059678733|0.50115997|0.48489177|0.26875818|-0.7362885|-0.2556917|-1.1006289|-0.06444376|0.5921328|-0.43653822|-0.0147333145|-0.66996336|0.5466696|0.28484887|-0.13032693|-0.57913566|-0.636782|1.5573262|0.81997156|-0.070313394|-0.24377425|0.0067210793|0.2613258|-0.6256395|-0.14816266|0.38635814|0.1459634|0.343821|0.24114156|-0.11555681|0.29533148|-0.16668168|0.7376882|-0.22737801|-0.053126335|0.4270801|-0.5886142|0.081648216|0.30928805|-1.3285272|-0.20396152|0.07765183|-0.8801595|0.030229658|0.080462426|0.21530381|-0.73281264|-0.16740209|-0.16595504|0.6854159|0.48364642|-0.5184135|-0.46199903|-0.038417608|-0.58748937|-0.41932967|-0.64323705|-0.25370324|-0.226489|1.0655988|-0.47594795|-0.52454746|-0.8741007|-0.06311637|-0.9539337|-0.3251561|-0.171657|-0.34838682|0.21779007|-0.09541462|0.15428948|-0.2602175|0.15727103|-0.078431845|0.09322816|-0.35489|0.094523296|0.1711249|0.66428965|-0.7631211|1.0172355|-0.17660728|-0.8336588|0.08356586|-1.275727|-0.6538478|-0.08174296|-0.30205676|-0.5449319|0.39745757|0.18266767|0.43442088|-0.16352722|0.21569476|0.5690089|-0.75000924|0.33771634|0.20626721|0.023070991|-0.297546
15;-0.014575243|0.2995466|0.13963085|0.26875812|-0.35538802|-0.26049426|-0.24617134|-0.7008648|0.62090385|-0.2949237|-0.15741889|0.16036522|0.6586296|-0.18727462|0.5773893|0.45124257|-0.42917067|0.3573236|0.28781864|0.07540488|0.50632495|-0.6311705|0.09259491|-0.07028264|0.3145277|0.5046034|-0.69815636|-0.1547508|0.039442718|-0.5863786|-0.018010348|0.29444143|0.5481467|-0.40506554|0.36518568|0.26204437|-0.5305077|0.67656076|0.9985797|-0.29970992|0.030384615|0.18053713|0.16384357|-0.5959981|0.48690423|-0.30689627|-0.3514323|-0.7517781|0.21300834|0.32637727|0.4190927|-0.77926207|-0.05837591|-0.23201935|-0.22388752|0.102144055|-0.474261|-0.053820368|-0.062328488|0.50590354|-0.4745611|-0.12226316|0.24971679|-0.009116098|-0.17808875|-0.19648977|0.033279847|-0.35371|-0.3450178|0.17387162|0.27454257|-0.8779708|0.029649504|-0.05235675|0.08982298|-0.5138485|-0.37856424|-0.77062523|-0.037699968|0.25181162|0.37518272|-0.26862887|-0.3715371|0.68211836|-0.457483|-0.5176853|-0.025152385|-0.32038122|-0.47576624|0.3776233|-0.043479085|-0.08842166|0.0002681464|-0.349451|-0.22975953|0.2550948|0.2838871|0.36217737|-0.108692065|-0.44129282
16;-0.28720456|0.58439773|0.008281797|-0.029511154|0.0490458|0.3528096|-0.014930725|0.1108867|0.8865546|-0.37738585|0.080044|0.24135694|-0.10921055|-0.43469113|0.69631815|-0.23064154|-0.20180394|0.7221595|0.4341793|-0.18419038|-0.14414324|-0.5928979|0.37320203|-0.04701996|-0.042246714|0.18855748|-0.07945268|0.02654554|-0.18495218|-0.3411549|0.28555617|-0.06901786|0.22738434|-0.016819984|-0.26280308|0.046451956|-0.56833297|0.033521026|0.1577933|-0.6635279|-0.2807967|0.25453916|-0.49478692|-0.4522754|0.21783203|0.49544227|-0.48379177|-0.4404923|0.18084718|0.9720528|0.7970448|-0.7749753|-0.04287481|-0.018814504|-0.94365174|0.17163604|0.17709136|-0.5794441|-0.17613633|0.21698128|-0.8962121|0.4885029|-0.39857423|0.4673761|-0.37181777|-0.82490516|-0.12984547|-0.16554044|-0.287669|0.3758714|0.47385806|-0.54947567|0.1684596|-0.30831257|0.5410507|-0.59490985|-0.030433938|-0.15563247|0.3058967|-0.20286903|0.16523|-0.30774468|-0.49104467|0.6482006|-0.5352711|-0.25120732|-0.18438187|-0.097571194|-0.24781424|-0.06936625|-1.0319715|0.43837845|0.16737585|-0.6123764|0.2765455|-0.31804445|0.09295307|0.1202732|-0.48808533|-0.31748754
17;-0.47711447|0.6076895|0.28646082|0.9870878|-0.693786|0.24476421|-0.34064162|0.05507382|0.57276773|-0.0057651997|-0.40982473|0.24781373|0.5108237|0.35267705|0.32375672|0.12659445|-0.18059851|0.13137329|0.49009997|0.10952635|0.29081684|-0.798487|0.525919|-0.34075075|0.009713709|0.25180176|-0.27690643|-0.6426156|-0.12399331|-0.21281722|0.39622104|0.092778385|-0.1664508|-0.44132805|-0.70515335|0.6560948|-0.17705837|0.36358234|-0.39394033|-0.4126167|-0.36069643|0.3373508|-0.27696013|-0.5486081|0.4395333|0.015665635|-0.16827199|-0.58081585|0.4407301|0.5324687|0.51030487|-0.6198321|-0.31952485|-0.097239405|0.18269563|0.3624831|-0.5780038|0.058744423|-0.38383347|0.43566328|-0.78692186|0.07887672|-0.15731107|0.43525827|0.050811514|-0.26959285|0.025611661|-1.1035949|-0.35711414|-0.46805993|0.30516034|-0.2574674|-0.20659|-0.14572796|0.15834565|-0.20492187|-0.4760695|-0.22449863|-0.7670547|-0.30260557|0.2425143|-0.083014|-0.22727111|0.24694988|-0.71209216|-0.3978735|-0.59591293|-0.013878554|-0.8168254|-0.59801173|-0.46923655|0.6409134|0.28375208|0.16961285|0.34634516|-0.2596821|0.4127354|0.02851066|-0.781971|-0.73003685
18;-0.15824638|0.16454075|0.19928166|0.60846287|-0.25382638|-0.404484|-0.008399099|0.01778157|0.5887785|-0.37910587|-0.17217812|0.98584497|0.48975652|0.059454948|0.43605813|0.754341|0.5825582|-0.1484414|0.98807454|-0.36480916|-0.057192445|-0.9283936|0.17080936|-0.067005455|-0.3373537|0.42962646|0.5267153|-0.6550405|-0.39517552|0.38865498|0.2812716|0.8309748|0.4061715|-0.1252556|-0.06348074|0.21670562|0.5578658|0.66060424|-0.0673189|-0.7061485|0.048947334|0.100077935|-0.08864973|-0.2646798|1.2004209|0.3416105|-0.56792986|-0.42597044|0.2217456|0.032206446|-0.30786413|-0.8748227|-0.5741908|-0.39568365|-0.5376284|-0.07765084|-0.13645151|0.50298524|-0.3267548|0.60370183|-0.8260264|0.4648827|-0.50202703|0.3400308|0.112663195|-0.6776787|-0.33046344|-1.0425916|-0.49150392|-0.07128294|0.8334575|-0.17127946|0.44403866|0.020002306|0.10133302|-0.5747587|0.03436573|0.09447691|-0.30843154|-1.37641|-0.08609697|-0.6910587|-0.31830227|0.17579736|-0.54404485|-0.52098876|-0.4524981|-0.02918613|-0.3023381|-0.78638536|-0.22777273|0.08516033|-0.2541816|-1.001297|0.12890121|-0.35625964|0.7094983|0.5771521|-0.50098157|-0.5938742
19;-0.25719893|-0.11005637|0.2902868|0.22804621|-0.37523544|-0.4939112|-0.17790514|-0.25295317|0.009401888|0.09755565|-0.4491452|0.046709836|1.0308335|-0.33364296|0.26594752|0.12036507|0.20314936|0.26006275|0.17877766|0.07900193|0.28290516|-0.63495207|0.15104893|-0.10285509|-0.48243213|0.06393844|0.11472145|0.041878983|0.18783915|-0.4924599|0.31203657|-0.1578081|0.44283438|-0.092226215|0.392083|0.0369453|-0.5783101|-0.23295137|0.3060498|-0.4764338|-0.03619285|0.047228858|-0.69578433|-0.15264818|1.068692|0.5066594|-0.46868062|-0.607501|0.39190832|0.04726109|0.28108644|-0.5380195|-0.46780205|-0.102324575|0.11187363|0.5541341|-1.2228658|0.56137776|-0.5551644|0.28377557|-0.64475536|0.31794417|0.22180149|0.45825386|0.02023314|-0.8106282|0.82709146|-0.41547906|-0.16465338|0.28862378|0.9447712|-0.2687083|0.42602962|0.19660479|0.5356993|-0.40406242|0.035627738|-0.29889625|0.6125849|0.088476926|0.19822466|-0.8782543|-0.9447074|0.5660862|-0.09509069|-0.2628997|0.23616782|-0.34732512|-0.74146426|0.35450006|-0.6807648|0.14454931|0.2142185|-0.44167638|0.34978586|-0.16043672|0.29910722|-0.19696146|0.037158877|-0.5057415
20;-0.28832597|0.7840754|0.19439413|0.16334277|0.078998774|0.031628944|-0.015733093|0.061745964|0.83984125|0.14024197|-0.68942153|0.5578176|0.8605211|0.41066206|0.6141048|-0.14835954|-0.26717532|0.7439735|0.14971635|-0.30340472|-0.61470854|-0.2886401|0.76128626|-0.3722811|-0.32497495|0.47774035|-0.08535914|-0.6309732|-0.35243872|-0.3579475|0.026353374|0.6506655|-0.071002364|-0.30166823|0.2262637|0.115045026|-0.6072338|0.19239672|0.12888147|-0.28736004|-0.35727492|0.016913489|-0.352172|-0.6317527|1.0576155|-0.25387704|-0.17722319|-0.035071284|0.36475047|1.1915792|0.26453573|-0.5629021|0.08126158|-0.68880653|-0.29121935|0.15395944|-0.4357953|0.13567851|-0.58059406|0.20712078|-0.4828805|-0.13038436|0.153032|0.36985856|-0.29015985|-0.2715364|0.22507212|-0.32376114|0.24431801|0.00778204|0.6557944|-0.43673694|-0.5301022|-0.5464261|0.29408008|-0.492104|0.0044587255|-0.064549565|-0.5461591|-0.51996577|0.49468368|-0.10079996|-0.20732857|0.5321392|-0.2784718|-0.27296612|-0.28317377|0.04190758|-0.4194139|-0.04886557|-1.1068976|0.2723935|0.025626376|-0.6506622|-0.07590036|-0.5471486|0.7978196|0.3711691|-0.20150161|-0.19955792
