,genres,original_language,popularity,release_date,runtime,status,vote_average,vote_count
106,6,1,14.092713,1976,114,0,8,2632.0
107,6,8,12.314278,1995,91,0,6,245.0
108,2,1,2.938293,1996,108,0,5,37.0
109,2,1,0.372697,1995,114,0,7,2.0
110,3,1,1.254885,1995,106,0,7,23.0
111,14,1,0.243986,1995,117,0,7,4.0
112,3,1,6.178497,1995,99,0,6,19.0
113,3,1,2.891918,1996,92,0,5,11.0
114,3,1,1.522412,1995,113,0,5,7.0
115,8,1,1.317878,1996,100,0,5,21.0
116,2,1,0.86539,1992,90,0,7,7.0
117,3,1,6.506983,1992,117,0,5,139.0
118,2,8,6.778979,1994,102,0,7,249.0
119,2,4,1.702639,1995,113,0,6,29.0
120,3,1,5.579088,1996,92,0,6,66.0
121,1,1,6.252377,1994,95,0,4,105.0
122,2,9,0.406754,1994,116,0,4,3.0
123,3,1,0.699066,1996,95,0,7,2.0
124,3,1,2.197439,1995,99,0,5,9.0
125,2,4,0.637554,1995,101,0,5,4.0
126,8,1,11.418917,1995,95,0,5,45.0
127,3,10,0.29102100000000003,1995,102,0,5,1.0
128,3,1,5.184977,1996,92,0,5,110.0
129,14,1,0.276401,1995,97,0,6,2.0
130,3,1,0.5404359999999999,1995,86,0,3,2.0
131,2,1,0.370342,1995,91,0,7,5.0
132,2,1,3.4027489999999996,1996,119,0,5,51.0
133,3,1,6.499680000000001,1996,117,0,6,303.0
134,2,1,0.9185040000000001,1995,125,0,7,2.0
135,3,1,2.039196,1995,98,0,6,23.0
136,8,1,9.262184,1995,118,0,6,1729.0
137,8,1,2.375865,1995,81,0,5,31.0
138,2,1,7.415144000000001,1995,102,0,7,472.0
139,11,1,0.922958,1995,113,0,6,11.0
140,6,1,1.7590119999999998,1994,105,0,6,21.0
141,2,1,18.761467,1995,140,0,7,1637.0
142,4,1,10.193549,1995,139,0,6,151.0
143,2,1,3.137285,1995,82,0,6,46.0
144,8,1,13.321354000000001,1995,121,0,5,1529.0
145,2,2,10.142662,1967,101,0,7,163.0
146,2,1,2.04189,1995,100,0,6,21.0
147,3,1,11.528147,1995,83,0,6,28.0
148,8,1,5.391556,1995,91,0,5,57.0
149,1,1,12.812539,1995,100,0,6,1045.0
150,9,1,4.558992,1995,128,0,6,69.0
151,8,1,7.260574,1995,109,0,5,214.0
152,8,1,8.657364999999999,1995,116,0,7,508.0
153,14,1,3.6203879999999997,1994,119,0,7,71.0
154,20,1,6.950458,1995,104,0,6,898.0
155,2,1,4.646132,1995,102,0,6,88.0
156,8,1,15.138855,1995,128,0,6,2094.0
157,8,1,7.120806,1995,80,0,5,57.0
158,8,1,15.178338,1995,134,0,5,319.0
159,4,1,7.575098,1995,95,0,5,130.0
160,8,1,14.810519000000001,1995,107,0,6,406.0
161,3,1,3.196456,1995,92,0,6,19.0
162,4,1,11.715867999999999,1995,97,0,5,380.0
163,17,1,8.184814999999999,1995,96,0,5,643.0
164,3,1,3.676921,1995,88,0,4,34.0
165,2,1,4.877872,1995,91,0,6,280.0
166,2,1,10.058328999999999,1995,89,0,7,64.0
167,9,1,4.102409,1995,119,0,5,87.0
168,3,1,0.354014,1993,100,0,7,7.0
169,2,1,2.624771,1995,95,0,5,27.0
170,11,1,8.255469999999999,1995,94,0,6,400.0
171,8,1,7.024227000000001,1995,92,0,5,153.0
172,3,1,1.01115,1995,100,0,5,10.0
173,20,1,2.466066,1995,95,0,6,36.0
174,5,1,7.720056,1994,93,0,5,12.0
175,6,1,13.304342000000002,1995,114,0,5,359.0
176,3,1,8.482834,1995,103,0,5,171.0
177,3,1,1.165039,1995,94,0,5,14.0
178,1,1,10.187623,1995,98,0,6,139.0
179,1,1,0.11971300000000001,1995,91,0,10,1.0
180,2,1,8.180047,1995,119,0,7,62.0
181,2,1,6.752119,1995,135,0,5,111.0
182,2,1,17.502375,1995,128,0,4,261.0
183,3,1,5.5529459999999995,1995,112,0,7,115.0
184,3,1,3.743212,1995,106,0,5,60.0
185,17,1,13.492845,1995,108,0,5,457.0
186,2,1,0.913522,1995,109,0,6,6.0
187,6,1,11.223055,1995,145,0,6,334.0
188,2,2,8.133881,1964,91,0,7,119.0
189,20,1,1.8204189999999998,1995,99,0,4,9.0
190,2,1,11.002046,1995,115,0,6,18.0
191,2,1,4.546551999999999,1995,111,0,6,112.0
192,3,1,7.653446000000001,1995,105,0,6,117.0
193,8,1,7.490247,1995,100,0,5,217.0
194,3,1,2.8816889999999997,1995,93,0,6,9.0
195,14,1,0.7860229999999999,1995,73,0,6,6.0
196,2,1,9.715639,1995,103,0,6,168.0
197,4,1,16.885184,1995,135,0,5,1017.0
198,2,1,1.8340990000000001,1995,89,0,5,25.0
199,8,1,8.922139,1995,98,0,5,27.0
200,2,1,3.727644,1994,97,0,6,11.0
201,4,1,3.287036,1995,90,0,4,29.0
202,2,11,2.4860729999999998,1994,135,0,6,35.0
203,2,1,3.5256489999999996,1994,113,0,7,45.0
204,2,1,11.304979,1995,105,0,7,984.0
205,3,1,6.638116,1995,89,0,6,464.0
206,2,1,2.761837,1995,90,0,4,27.0
207,3,1,3.030309,1995,115,0,6,48.0
208,2,1,2.686342,1995,97,0,7,58.0
209,20,1,2.2697700000000003,1995,95,0,5,40.0
210,2,1,2.605521,1995,103,0,6,30.0
211,3,1,10.513367,1994,92,0,7,769.0
212,11,1,7.438934,1994,97,0,6,184.0
213,2,1,11.812244,1994,123,0,5,217.0
214,8,1,9.579155,1994,101,0,5,91.0
215,2,1,5.484156,1994,103,0,7,92.0
216,6,1,5.8025,1995,132,0,7,183.0
217,3,1,9.844558000000001,1994,107,0,6,1894.0
218,3,3,4.860016000000001,1994,123,0,7,76.0
219,2,1,5.378467,1994,103,0,6,64.0
220,20,1,4.322726,1994,113,0,4,28.0
221,3,1,11.720358000000001,1994,127,0,7,639.0
222,3,1,9.146544,1995,111,0,6,179.0
223,3,1,16.236745000000003,1995,101,0,6,38.0
224,8,1,2.657337,1995,87,0,5,27.0
225,11,1,10.177977,1995,78,0,6,404.0
226,2,1,8.182165,1995,103,0,5,24.0
227,2,1,4.953936,1995,96,0,6,48.0
228,16,2,8.935058,1994,111,0,5,20.0
229,2,1,0.398924,1995,90,0,3,4.0
230,1,1,0.090452,1995,77,0,5,2.0
231,2,1,1.012197,1994,109,0,5,9.0
232,14,1,9.47666,1994,171,0,7,91.0
233,2,1,9.438042,1994,99,0,6,299.0
234,3,1,2.688562,1995,113,0,6,17.0
235,2,1,7.983666,1994,121,0,6,90.0
236,3,1,9.546707000000001,1995,100,0,6,97.0
237,8,1,2.756986,1995,106,0,6,25.0
238,3,1,5.146351999999999,1994,100,0,5,112.0
239,5,1,11.970205,1994,123,0,7,1558.0
240,2,1,1.596058,1995,139,0,5,10.0
241,3,1,0.748846,1995,82,0,4,10.0
242,3,1,6.710215,1994,109,0,4,381.0
243,8,1,9.195256,1995,102,0,6,124.0
244,4,1,5.874511,1995,89,0,4,40.0
245,8,1,7.797511999999999,1995,101,0,5,83.0
246,4,1,42.149696999999996,1977,121,0,8,6778.0
247,2,1,9.774994,1994,115,0,7,222.0
248,2,1,7.731725,1995,97,0,7,207.0
249,2,1,0.8450799999999999,1994,101,0,7,14.0
250,6,2,1.9483150000000002,1994,100,0,6,22.0
251,2,10,4.126083,1992,105,0,6,70.0
252,4,1,12.199047,1994,133,0,7,636.0
253,4,1,9.253362,1995,95,0,6,164.0
254,8,1,1.8612919999999997,1994,98,0,6,31.0
255,6,1,1.788829,1994,92,0,5,9.0
256,2,1,3.290192,1994,108,0,4,11.0
257,2,1,7.698525999999999,1995,106,0,6,28.0
258,3,1,4.81307,1994,107,0,6,67.0
259,2,1,14.287753,1994,123,0,6,272.0
260,8,1,2.558118,1995,96,0,5,40.0
261,3,1,2.899608,1994,97,0,5,37.0
262,3,1,3.770115,1994,108,0,5,49.0
263,1,1,5.831622,1994,114,0,6,199.0
264,3,1,1.1372659999999999,1995,95,0,5,7.0
265,3,1,3.1212880000000003,1995,128,0,7,11.0
266,6,1,9.518564,1995,122,0,6,140.0
267,2,1,2.891269,1994,110,0,7,56.0
268,2,1,5.930957,1994,112,0,6,128.0
269,6,1,0.629955,1995,98,0,6,7.0
270,5,1,0.42695200000000005,1994,89,0,4,4.0
271,17,1,1.466491,1995,83,0,4,10.0
272,2,1,0.769522,1995,100,0,7,4.0
273,6,1,11.226856,1994,119,0,6,927.0
274,3,1,4.936761,1994,115,0,6,92.0
275,2,1,4.025276,1994,99,0,7,106.0
276,2,1,6.448039,1996,106,0,4,32.0
277,8,1,13.676444,1995,127,0,6,522.0
278,20,2,20.477329,1994,110,0,8,4293.0
279,3,1,1.4335440000000002,1995,113,0,6,9.0
280,3,1,0.46330699999999997,1995,94,0,7,2.0
281,20,1,140.95023600000002,1994,154,0,8,8670.0
282,2,1,7.1601490000000005,1995,124,0,6,6.0
283,3,3,1.638622,1992,105,0,6,9.0
284,2,1,1.881932,1994,98,0,6,32.0
285,16,1,7.772505000000001,1994,133,0,7,262.0
286,2,1,1.296912,1995,94,0,7,5.0
287,2,2,4.405405,1994,162,0,7,67.0
288,8,1,7.54701,1995,107,0,6,431.0
289,2,12,3.395867,1995,108,0,6,7.0
290,2,1,6.2594330000000005,1994,133,0,5,33.0
291,2,2,7.832755000000001,1994,99,0,7,246.0
292,2,2,8.843517,1993,98,0,7,311.0
293,3,2,6.5898,1994,91,0,7,218.0
294,2,3,0.07825700000000001,1994,111,0,7,2.0
295,3,1,1.155255,1995,85,0,5,15.0
296,5,1,0.499601,1995,90,0,4,3.0
297,3,1,1.390885,1995,95,0,5,6.0
298,7,1,8.910461999999999,1994,89,0,6,251.0
299,2,1,1.7504810000000002,1994,97,0,6,15.0
300,8,1,10.388183,1994,110,0,5,317.0
301,8,1,13.328923999999999,1994,121,0,6,942.0
302,1,1,9.665424,1994,97,0,6,501.0
303,2,1,51.645403,1994,142,0,8,8358.0
304,6,1,8.223025999999999,1994,92,0,7,247.0
305,2,1,1.298224,1993,96,0,6,7.0
306,3,10,1.7771970000000001,1993,108,0,7,16.0
307,6,1,5.869261,1994,101,0,6,104.0
308,3,1,1.407427,1994,100,0,6,21.0
309,3,1,5.05806,1995,91,0,5,23.0
310,2,3,5.2606269999999995,1994,125,0,7,62.0
311,8,1,7.602086999999999,1995,98,0,5,140.0
312,5,1,9.455342,1995,92,0,6,96.0
313,17,1,8.105708,1994,118,0,6,461.0
314,6,1,2.86007,1995,98,0,5,33.0
315,2,1,0.7042039999999999,1994,115,0,5,8.0
316,20,1,6.529879,1995,99,0,5,165.0
317,3,1,11.971318,1995,97,0,6,321.0
318,2,1,7.039846000000001,1994,119,0,6,15.0
319,20,1,2.059771,1995,99,0,5,15.0
320,2,1,0.620873,1995,88,0,6,4.0
321,11,1,10.3919,1993,118,0,7,943.0
322,8,1,5.1883989999999995,1995,106,0,5,163.0
323,3,1,15.783615,1995,103,0,6,340.0
324,2,1,3.9085959999999997,1994,126,0,6,39.0
325,3,1,0.372239,1994,87,0,5,2.0
326,2,1,5.254847,1994,106,0,6,104.0
327,3,1,2.15805,1995,94,0,5,23.0
328,3,1,11.247957000000001,1994,86,0,6,1684.0
329,2,1,8.328596000000001,1994,104,0,7,174.0
330,2,1,2.487951,1994,100,0,6,37.0
331,20,1,11.298195,1992,139,0,7,115.0
332,8,1,5.72288,1994,98,0,7,130.0
333,8,1,7.5132449999999995,1994,141,0,6,390.0
334,2,1,15.263829000000001,1994,119,0,6,287.0
335,3,1,6.924689,1994,115,0,6,83.0
336,3,1,2.5330220000000003,1994,115,0,6,31.0
337,1,1,15.799335999999998,1994,102,0,7,980.0
338,2,1,2.5833630000000003,1994,128,0,6,29.0
339,1,1,15.019585999999999,1994,91,0,5,559.0
340,3,1,48.307194,1994,142,0,8,8147.0
341,3,1,8.990345,1994,117,0,6,654.0
342,11,1,7.817811,1995,127,0,6,49.0
343,3,1,0.28929499999999997,1994,104,0,6,4.0
344,8,1,3.570874,1994,123,0,5,41.0
345,3,1,11.272072999999999,1994,101,0,6,154.0
346,4,1,10.714235,1994,111,0,5,107.0
347,14,1,0.5688840000000001,1993,180,0,7,5.0
348,13,1,21.605760999999998,1994,89,0,8,5520.0
349,2,1,5.681522,1993,140,0,6,76.0
350,5,1,9.860522,1994,112,0,6,297.0
351,11,1,14.134879999999999,1994,101,0,6,2550.0
352,8,1,15.050326,1994,127,0,6,490.0
353,2,1,4.739054,1994,125,0,6,20.0
354,3,1,10.587232,1994,83,0,6,535.0
355,3,1,4.006063,1994,112,0,6,40.0
356,2,1,6.5145919999999995,1994,99,0,6,180.0
357,6,1,5.137903,1993,98,0,6,71.0
358,3,1,6.595255,1994,95,0,5,426.0
359,2,1,4.931565,1994,98,0,4,7.0
360,8,1,10.511241,1994,111,0,6,214.0
361,8,1,10.859292,1994,116,0,6,1814.0
362,3,1,2.3342259999999997,1994,99,0,5,24.0
363,20,1,8.907074,1994,99,0,5,288.0
364,8,1,11.396099000000001,1994,141,0,6,1138.0
365,2,1,4.322544000000001,1994,126,0,6,71.0
366,1,1,14.063845,1994,125,0,6,221.0
367,2,1,9.277147,1994,191,0,6,203.0
368,8,1,0.912415,1995,108,0,4,12.0
369,3,1,0.406113,1994,99,0,6,2.0
370,3,1,2.5045290000000002,1994,96,0,6,22.0
371,8,1,3.0215259999999997,1994,100,0,6,31.0
372,2,1,0.054148,1994,91,0,2,1.0
373,2,2,0.934312,1994,110,0,5,9.0
374,8,1,4.220541000000001,1965,83,0,6,59.0
375,6,1,0.912909,1994,119,0,5,9.0
376,7,1,0.381704,1993,61,0,7,8.0
377,8,1,13.584489999999999,1994,102,0,4,330.0
378,8,1,2.342756,1995,92,0,6,13.0
379,8,1,1.108494,1995,88,0,6,6.0
380,5,1,0.268043,1995,98,0,3,7.0
381,14,1,0.14235699999999998,1995,89,0,7,4.0
382,11,1,0.40539200000000003,1995,89,0,10,1.0
383,8,1,0.30295700000000003,1995,92,0,4,1.0
384,14,1,0.0368,1995,115,0,4,1.0
385,8,1,6.8666339999999995,1994,99,0,4,110.0
386,5,1,8.497643,1994,95,0,7,307.0
387,2,1,1.888534,1994,105,0,7,22.0
388,6,1,4.38154,1994,96,0,6,40.0
389,3,1,17.555909,1993,94,0,6,537.0
390,3,1,0.394194,1994,84,0,4,4.0
391,2,1,8.013617,1993,139,0,7,172.0
392,3,1,7.09232,1994,92,0,5,222.0
393,3,1,1.8962729999999999,1994,107,0,5,42.0
394,8,1,12.967239,1993,105,0,4,58.0
395,8,1,14.644772,1994,99,0,4,61.0
396,3,1,1.632711,1994,100,0,6,20.0
397,2,1,2.783872,1994,122,0,5,15.0
398,3,1,5.673735,1993,93,0,5,86.0
399,8,1,11.787784,1994,104,0,5,445.0
400,8,1,8.398845,1994,88,0,6,68.0
401,9,1,3.0028200000000003,1994,106,0,6,45.0
402,2,1,13.155071,1994,121,0,6,126.0
403,2,1,6.131056,1994,108,0,5,41.0
404,2,1,4.993829,1994,101,0,6,28.0
405,5,1,6.559692999999999,1993,87,0,5,102.0
406,2,1,4.304224,1993,107,0,4,59.0
407,2,1,6.115628,1993,121,0,7,447.0
408,3,1,1.679042,1994,80,0,4,28.0
409,2,1,1.316741,1993,90,0,3,10.0
410,8,1,8.698509,1993,144,0,7,805.0
411,8,1,8.605703,1994,116,0,4,103.0
412,3,1,2.724621,1994,107,0,5,25.0
413,8,1,9.830853,1993,112,0,6,600.0
414,3,1,10.722729,1993,88,0,4,228.0
415,2,1,14.228963,1994,121,0,5,117.0
416,8,1,7.042878,1994,93,0,5,36.0
417,10,1,4.286279,1994,102,0,5,38.0
418,2,1,2.70097,1993,108,0,5,9.0
419,3,1,13.696394,1993,110,0,6,205.0
420,3,1,6.8652,1993,102,0,7,588.0
421,6,1,11.626116,1993,115,0,6,1018.0
422,14,1,0.408159,1994,109,0,7,12.0
423,10,1,2.970724,1994,96,0,4,29.0
424,3,1,3.555139,1993,91,0,5,37.0
425,2,3,4.875826999999999,1993,171,0,7,98.0
426,2,1,1.344876,1994,97,0,3,6.0
427,2,1,9.284624,1993,122,0,6,80.0
428,3,1,0.985441,1994,88,0,5,11.0
429,3,1,2.969003,1994,103,0,6,54.0
430,2,1,1.896869,1993,126,0,6,22.0
431,3,1,0.409427,1994,101,0,4,3.0
432,3,1,8.468869,1993,94,0,5,77.0
433,2,1,9.678367,1993,154,0,6,513.0
434,13,1,5.990572,1993,112,0,6,429.0
435,6,1,3.970215,1994,114,0,7,56.0
436,4,1,10.089369999999999,1993,130,0,7,1240.0
437,16,1,4.653462,1993,115,0,5,44.0
438,2,1,14.214402999999999,1994,115,0,5,81.0
439,13,1,2.410545,1994,109,0,4,43.0
440,2,1,0.775898,1994,83,0,3,5.0
441,3,1,5.22583,1994,94,0,5,11.0
442,2,1,5.385108,1993,107,0,5,21.0
443,8,1,7.834351,1993,97,0,6,237.0
444,16,1,4.1905410000000005,1993,140,0,6,51.0
445,8,1,13.482370999999999,1993,86,0,6,463.0
446,3,1,2.138959,1995,95,0,4,12.0
447,2,1,5.331753,1995,99,0,6,83.0
448,11,1,10.687795,1993,140,0,6,135.0
449,3,1,0.9960469999999999,1994,100,0,4,11.0
450,3,1,7.550545,1994,111,0,7,280.0
451,3,1,1.7429740000000002,1994,115,0,5,18.0
452,3,1,6.071466,1994,91,0,4,54.0
453,8,1,12.637158,1993,128,0,6,392.0
454,2,1,7.405895,1993,133,0,7,363.0
455,3,1,0.6133350000000001,1994,110,0,3,5.0
456,2,1,14.820882999999998,1993,118,0,6,75.0
457,3,1,4.563989,1994,112,0,4,17.0
458,8,1,5.538671,1993,110,0,6,79.0
459,4,1,8.863776,1993,127,0,7,4956.0
460,20,1,8.4337,1993,117,0,6,209.0
461,8,1,4.948569,1993,96,0,6,111.0
462,2,1,4.3753470000000005,1993,103,0,6,33.0
463,8,1,3.645342,1994,94,0,6,54.0
464,4,1,9.434006,1993,130,0,6,725.0
465,3,1,6.446229,1993,91,0,5,24.0
466,8,1,2.913584,1994,98,0,5,40.0
467,2,1,6.5169760000000005,1993,101,0,6,35.0
468,3,1,5.43085,1993,111,0,5,86.0
469,2,1,9.861672,1993,107,0,5,105.0
470,2,1,5.997712,1993,114,0,6,125.0
471,3,1,8.939404,1993,104,0,7,169.0
472,2,1,5.260924,1993,97,0,7,179.0
473,8,1,13.106291,1996,133,0,5,261.0
474,2,13,8.932494,1976,105,0,6,112.0
475,20,1,0.534606,1994,91,0,7,7.0
476,2,1,8.627239999999999,1993,111,0,7,194.0
477,2,1,6.579753,1993,114,0,5,35.0
478,3,1,13.011091,1993,98,0,5,11.0
479,3,1,11.16553,1993,125,0,7,1638.0
480,3,1,8.665198,1993,131,0,7,105.0
481,4,1,9.9697,1994,107,0,4,202.0
482,3,1,0.5962069999999999,1994,112,0,4,5.0
483,8,1,9.715187,1994,118,0,6,86.0
484,3,1,15.534707000000001,1994,87,0,4,67.0
485,11,1,3.800785,1992,93,0,6,53.0
486,6,1,8.040589,1993,138,0,7,376.0
487,2,1,13.373006,1993,125,0,7,1019.0
488,2,1,7.436758,1993,121,0,7,290.0
489,2,1,6.972599000000001,1993,109,0,6,47.0
490,2,1,3.199976,1993,112,0,6,28.0
491,5,1,7.272296000000001,1994,109,0,5,41.0
492,3,1,8.506727,1994,108,0,5,12.0
493,3,1,5.868677,1994,97,0,6,99.0
494,2,1,12.222576,1993,134,0,7,213.0
495,3,1,4.985157,1994,128,0,5,83.0
496,8,1,6.279082,1993,125,0,5,188.0
497,3,1,3.416181,1994,118,0,5,43.0
498,8,1,8.685798,1993,104,0,4,309.0
499,3,1,17.136672,1993,104,0,6,575.0
500,8,1,9.796318,1993,100,0,5,36.0
501,8,1,5.157926,1992,94,0,6,126.0
502,2,1,0.941994,1993,114,0,5,10.0
503,2,1,5.914833,1993,114,0,7,187.0
504,2,1,1.065843,1993,99,0,4,5.0
505,2,2,1.031556,1992,126,0,6,11.0
506,2,1,41.725122999999996,1993,195,0,8,4436.0
507,3,1,5.7156080000000005,1994,101,0,5,37.0
508,2,1,12.048587,1993,110,0,7,100.0
509,2,1,0.8825959999999999,1994,105,0,5,8.0
510,2,1,6.499523,1993,102,0,7,232.0
511,3,1,5.305311,1994,95,0,6,137.0
512,4,1,7.881107000000001,1994,108,0,5,140.0
513,2,1,2.9658599999999997,1993,131,0,6,61.0
514,3,1,8.829336999999999,1993,187,0,6,136.0
515,2,1,4.13516,1994,106,0,5,26.0
516,3,1,2.86213,1993,98,0,5,31.0
517,9,1,8.730025,1993,112,0,6,75.0
518,3,1,10.234919,1993,105,0,6,630.0
519,2,1,11.23297,1993,108,0,4,144.0
520,17,1,96.272374,1982,117,0,7,3833.0
521,3,1,9.122717999999999,1993,95,0,5,81.0
522,3,1,8.051914,1993,93,0,6,131.0
523,6,1,13.390917000000002,1993,102,0,5,223.0
524,16,1,1.825468,1985,113,0,4,4.0
525,4,1,7.198455,1993,104,0,4,236.0
526,8,1,3.6446410000000005,1994,96,0,6,53.0
527,8,1,8.012225,1994,102,0,5,82.0
528,2,1,0.8730680000000001,1993,93,0,7,9.0
529,3,1,10.82236,1994,93,0,6,57.0
530,1,1,17.730913,1993,76,0,7,2135.0
531,8,1,6.34785,1993,105,0,6,219.0
532,8,1,11.338194,1993,130,0,7,632.0
533,2,1,0.8558600000000001,1994,107,0,5,5.0
534,8,1,17.189328,1993,120,0,7,762.0
535,14,1,1.273617,1993,96,0,7,19.0
536,1,1,7.436000999999999,1994,80,0,6,178.0
537,2,1,0.741522,1994,112,0,6,2.0
538,20,1,0.422224,1994,97,0,3,2.0
539,3,1,5.14056,1995,88,0,6,103.0
540,2,1,2.759302,1993,160,0,6,43.0
541,3,1,9.85327,1994,102,0,4,22.0
542,2,1,5.513024,1993,94,0,6,153.0
543,3,1,0.449733,1993,95,0,4,3.0
544,3,10,3.647321,1993,117,0,6,58.0
545,3,1,0.44158500000000006,1994,100,0,5,10.0
546,3,1,1.960563,1994,119,0,6,20.0
547,2,12,1.7645819999999999,1993,102,0,6,10.0
548,3,1,3.456868,1992,100,0,7,74.0
549,3,1,2.799575,1994,106,0,5,29.0
550,11,1,6.707109,1994,82,0,6,214.0
551,2,1,3.139316,1994,94,0,5,31.0
552,20,4,0.046196,1993,92,0,5,5.0
553,3,1,1.943323,1994,97,0,4,5.0
554,16,1,6.784687,1996,102,0,7,24.0
555,2,1,1.040873,1993,94,0,6,4.0
556,3,4,2.904734,1993,100,0,6,46.0
